"Collector","Version","Endpoint","PathTemplate"
"Get-VulnerabilityData.ps1","beta","https://graph.microsoft.com/beta/deviceManagement/securityBaselineStates","/deviceManagement/securityBaselineStates"
"Get-VulnerabilityData.ps1","beta","https://graph.microsoft.com/beta/security/secureScores","/security/secureScores"
"Get-VulnerabilityData.ps1","beta","https://graph.microsoft.com/beta/security/vulnerabilities","/security/vulnerabilities"
"Get-WindowsUpdateStatus.ps1","beta","https://graph.microsoft.com/beta/deviceManagement/deviceConfigurations?","/deviceManagement/deviceConfigurations"
"Get-WindowsUpdateStatus.ps1","beta","https://graph.microsoft.com/beta/deviceManagement/deviceConfigurations/$($ring.id)/assignments","/deviceManagement/deviceConfigurations/$($ring.id)/assignments"
"Get-WindowsUpdateStatus.ps1","beta","https://graph.microsoft.com/beta/deviceManagement/deviceConfigurations/$($ring.id)/deviceStatuses","/deviceManagement/deviceConfigurations/$($ring.id)/deviceStatuses"
"Get-WindowsUpdateStatus.ps1","beta","https://graph.microsoft.com/beta/deviceManagement/deviceConfigurations/$($ring.id)/deviceStatusOverview","/deviceManagement/deviceConfigurations/$($ring.id)/deviceStatusOverview"
"Get-WindowsUpdateStatus.ps1","beta","https://graph.microsoft.com/beta/deviceManagement/managedDevices?","/deviceManagement/managedDevices"
"Get-WindowsUpdateStatus.ps1","beta","https://graph.microsoft.com/beta/deviceManagement/windowsDriverUpdateProfiles","/deviceManagement/windowsDriverUpdateProfiles"
"Get-WindowsUpdateStatus.ps1","beta","https://graph.microsoft.com/beta/deviceManagement/windowsDriverUpdateProfiles/$($profile.id)/deviceUpdateStates","/deviceManagement/windowsDriverUpdateProfiles/$($profile.id)/deviceUpdateStates"
"Get-WindowsUpdateStatus.ps1","beta","https://graph.microsoft.com/beta/deviceManagement/windowsDriverUpdateProfiles/$($profile.id)/driverInventories?","/deviceManagement/windowsDriverUpdateProfiles/$($profile.id)/driverInventories"
"Get-WindowsUpdateStatus.ps1","beta","https://graph.microsoft.com/beta/deviceManagement/windowsFeatureUpdateProfiles","/deviceManagement/windowsFeatureUpdateProfiles"
"Get-WindowsUpdateStatus.ps1","beta","https://graph.microsoft.com/beta/deviceManagement/windowsFeatureUpdateProfiles/$($policy.id)/assignments","/deviceManagement/windowsFeatureUpdateProfiles/$($policy.id)/assignments"
"Get-WindowsUpdateStatus.ps1","beta","https://graph.microsoft.com/beta/deviceManagement/windowsQualityUpdateProfiles","/deviceManagement/windowsQualityUpdateProfiles"
"Get-WindowsUpdateStatus.ps1","beta","https://graph.microsoft.com/beta/deviceManagement/windowsQualityUpdateProfiles/$($policy.id)/assignments","/deviceManagement/windowsQualityUpdateProfiles/$($policy.id)/assignments"
"Get-WindowsUpdateStatus.ps1","beta","https://graph.microsoft.com/beta/deviceManagement/windowsQualityUpdateProfiles/$($policy.id)/deviceUpdateStates","/deviceManagement/windowsQualityUpdateProfiles/$($policy.id)/deviceUpdateStates"
